# Source: US Monthly Energy Review, November 2018
# Unit: GW per hour
date,residential,commercial,industrial,transport
# 2000-01-01,1192446,1159347,1064239,5382
# 2001-01-01,1201607,1190518,996609,5724
# 2002-01-01,1265180,1204531,990238,5517
# 2003-01-01,1275824,1198728,1012373,6810
# 2004-01-01,1291982,1230425,1017850,7224
2005-01-01,1359227,1275079,1019156,7506
2006-01-01,1351520,1299744,1011298,7358
2007-01-01,1392241,1336315,1027832,8173
2008-01-01,1380662,1336133,1009516,7653
2009-01-01,1364758,1306853,917416,7768
2010-01-01,1445708,1330199,971221,7712
2011-01-01,1422801,1328057,991316,7672
2012-01-01,1374515,1327101,985714,7320
2013-01-01,1394812,1337079,985352,7625
2014-01-01,1407208,1352158,997576,7758
2015-01-01,1404096,1360752,986508,7637
2016-01-01,1411058,1367191,976715,7497
2017-01-01,1378648,1353358,984298,7523
